Files	Filesizes	Extracted Text	Metadata
296	73.8710104622	25.357568534	0.7714210038
297	66.4186851211	29.5674740484	4.0138408305
298	80.2006688963	4.2809364549	15.5183946488
299	77.3763283254	20.9160864786	1.707585196
300	84.5152603232	5.0718132855	10.4129263914
301	76.1461468468	22.22299993	1.6308532232
302	68.5430463576	12.3344370861	19.1225165563
303	59.9197247706	26.7775229358	13.3027522936
304	76.6543120593	22.2925329958	1.0531549449
305	67.4351585014	10.3746397695	22.1902017291
306	77.4458813607	20.9165026708	1.6376159685
307	77.3122760839	20.9841339475	1.7035899686
308	57.1239523599	32.6422584914	10.2337891487
309	76.3105550209	22.1944177093	1.4950272698
310	67.2883064516	32.0822678993	0.6294256491
311	65.5278514589	32.0106100796	2.4615384615
312	77.4204560972	20.9886658473	1.5908780554
313	77.3908590449	21.1176545897	1.4914863654
314	76.2686867333	22.1693369981	1.5619762687
315	72.5777166437	26.1403026135	1.2819807428
316	93.1501092621	4.8915784165	1.9583123214
317	66.3970885564	24.2215932066	9.381318237
318	59.9197247706	26.7775229358	13.3027522936
319	73.5129332036	25.7053712215	0.7816955749
320	75.8887902987	22.7329192547	1.3782904466
321	69.2967409949	10.8919382504	19.8113207547
322	75.917340045	22.5394091933	1.5432507617
323	76.2441314554	22.1931589537	1.5627095909
324	68.0035650624	11.4081996435	20.5882352941
325	76.9008155748	21.5666929755	1.5324914496
326	77.3679417122	21.3057832423	1.3262750455
327	63.8353115727	31.8620178042	4.3026706232
328	57.4040219378	0.365630713	42.2303473492
329	74.2688887108	24.7976924926	0.9334187966
330	71.8167701863	22.1790890269	6.0041407868
331	76.7026067968	21.7073836495	1.5900095537
332	59.9197247706	26.7775229358	13.3027522936
333	59.9197247706	26.7775229358	13.3027522936
334	75.1427088739	12.8178515828	12.0394395433
335	74.2844544216	24.7815281007	0.9340174778
336	69.916136141	29.3707149853	0.7131488737
337	65.9252669039	13.5231316726	20.5516014235
338	75.9503294475	22.5734921439	1.4761784085
339	75.1776900296	23.672260612	1.1500493583
340	75.8004075998	22.6678061929	1.5317862074
341	74.6994611027	24.4956473677	0.8048915296
342	74.277151661	24.7393524967	0.9834958423
343	87.1654833424	6.4991807755	6.335335882
344	59.9197247706	26.7775229358	13.3027522936
