Files	Filesizes	Extracted Text	Metadata
8462	98.9746871001	0	1.0253128999
8463	98.9979409746	0	1.0020590254
8464	99.0074479175	0	0.9925520825
8465	99.0074479175	0	0.9925520825
8466	99.0074479175	0	0.9925520825
8467	99.0074479175	0	0.9925520825
8468	99.0074479175	0	0.9925520825
8469	98.9705744101	0	1.0294255899
8470	98.9753427221	0	1.0246572779
8471	99.0074479175	0	0.9925520825
8472	98.9797656093	0.0030963107	1.01713808
8473	98.9479752126	0	1.0520247874
8474	99.0074479175	0	0.9925520825
8475	99.0074479175	0	0.9925520825
8476	98.9600481195	0	1.0399518805
8477	99.0058860022	0	0.9941139978
8478	99.0044565299	0.0030213762	0.9925220938
8479	98.9753267413	0	1.0246732587
8480	98.8727222813	0	1.1272777187
8481	98.9900537923	0.0030650871	1.0068811206
8482	99.0074479175	0	0.9925520825
8483	99.0047565668	0	0.9952434332
8484	98.9996650324	0	1.0003349676
8485	99.0074479175	0	0.9925520825
8486	99.0074479175	0	0.9925520825
8487	99.0044096922	0	0.9955903078
8488	76.1946578851	14.7749725576	9.0303695573
8489	98.997436367	0	1.002563633
8490	98.9516515079	0	1.0483484921
8491	98.9979409746	0	1.0020590254
8492	98.9753427221	0	1.0246572779
8493	99.0074479175	0	0.9925520825
8494	99.0074479175	0	0.9925520825
8495	99.006682592	0	0.993317408
8496	99.0074479175	0	0.9925520825
8497	99.0074479175	0	0.9925520825
8498	99.0074479175	0	0.9925520825
8499	98.9984742972	0.0030211937	0.9985045091
8500	98.7770475785	0	1.2229524215
8501	99.0044565299	0.0030213762	0.9925220938
8502	99.0074479175	0	0.9925520825
8503	99.0074479175	0	0.9925520825
8504	93.8691672248	0.9198481804	5.2109845948
8505	99.0074479175	0	0.9925520825
8506	98.9944458008	0.0030517578	1.0025024414
8507	98.9753587024	0	1.0246412976
8508	99.0074479175	0	0.9925520825
8509	99.0074479175	0	0.9925520825
8510	98.9949210623	0	1.0050789377
8511	98.8682755413	0	1.1317244587
8512	98.9975434474	0	1.0024565526
8513	99.0074479175	0	0.9925520825
8514	99.0074479175	0	0.9925520825
8515	98.9821685851	0	1.0178314149
8516	92.9727837578	1.1770368426	5.8501793997
8517	92.913802221	1.1942534814	5.8919442976
8518	99.0074479175	0	0.9925520825
8519	99.0074479175	0	0.9925520825
8520	88.4320245556	3.5938099501	7.9741654943
8521	99.0074479175	0	0.9925520825
8522	99.0042889835	0	0.9957110165
8523	98.9749590452	0	1.0250409548
8524	99.0074479175	0	0.9925520825
8525	98.9978798371	0	1.0021201629
8526	99.0074479175	0	0.9925520825
8527	98.8812832039	0	1.1187167961
8528	98.7589780889	0.2454768615	0.9955450496
8529	99.0074479175	0	0.9925520825
8530	98.9822001208	0	1.0177998792
8531	93.8506202164	1.0160992346	5.133280549
8532	99.0074479175	0	0.9925520825
8533	99.0074479175	0	0.9925520825
8534	99.0074479175	0	0.9925520825
8535	99.0044565299	0.0030213762	0.9925220938
8536	99.0074479175	0	0.9925520825
8537	99.0074479175	0	0.9925520825
8538	99.0074479175	0	0.9925520825
8539	98.9268738873	0	1.0731261127
8540	99.0074479175	0	0.9925520825
8541	98.9912792483	0	1.0087207517
8542	99.0074479175	0	0.9925520825
8543	99.0074479175	0	0.9925520825
8544	99.0074479175	0	0.9925520825
8545	99.0074479175	0	0.9925520825
8546	98.3728610027	0.0030021015	1.6241368958
8547	99.0074479175	0	0.9925520825
8548	99.0074479175	0	0.9925520825
8549	98.9713963647	0	1.0286036353
8550	99.0074479175	0	0.9925520825
8551	99.0074479175	0	0.9925520825
8552	98.9885967739	0.003069509	1.008333717
8553	99.0074479175	0	0.9925520825
8554	99.0074479175	0	0.9925520825
8555	99.0074479175	0	0.9925520825
8556	98.9793223446	0	1.0206776554
8557	99.0044565299	0.0030213762	0.9925220938
8558	99.0074479175	0	0.9925520825
8559	62.8321451717	20.7226182761	16.4452365522
8560	98.9702355762	0	1.0297644238
8561	99.0025656986	0	0.9974343014
8562	99.0074479175	0	0.9925520825
8563	98.9713963647	0	1.0286036353
8564	99.0074479175	0	0.9925520825
8565	98.9941978843	0	1.0058021157
8566	98.9906748806	0	1.0093251194
8567	98.9990126832	0.0030378978	0.997949419
8568	99.0052990159	0	0.9947009841
8569	99.9670608534	0	0.0329391466
8570	99.0074479175	0	0.9925520825
8571	99.0074479175	0	0.9925520825
8572	99.0074479175	0	0.9925520825
8573	99.0074479175	0	0.9925520825
8574	98.9278102273	0.0032539902	1.0689357825
8575	99.0074479175	0	0.9925520825
8576	99.0074479175	0	0.9925520825
8577	97.7813586381	1.2383808543	0.9802605076
8578	98.9939822684	0	1.0060177316
8579	92.982755677	1.3103978146	5.7068465085
8580	99.0074479175	0	0.9925520825
8581	91.2653216184	5.410022779	3.3246556026
8582	98.9667374381	0	1.0332625619
8583	99.0074479175	0	0.9925520825
8584	99.005901044	0	0.994098956
8585	99.0074479175	0	0.9925520825
8586	98.908819133	0	1.091180867
8587	99.0074479175	0	0.9925520825
8588	99.0074479175	0	0.9925520825
8589	99.0074479175	0	0.9925520825
8590	99.0074479175	0	0.9925520825
8591	98.97531076	0	1.02468924
8592	91.3048227648	1.3927576602	7.3024195751
8593	99.0074479175	0	0.9925520825
8594	92.4800780615	5.5846479102	1.9352740283
8595	99.0074479175	0	0.9925520825
8596	98.9520193964	0	1.0479806036
8597	99.0044565299	0.0030213762	0.9925220938
8598	98.9935970099	0	1.0064029901
8599	99.0074479175	0	0.9925520825
8600	99.0074479175	0	0.9925520825
8601	99.0074479175	0	0.9925520825
8602	99.0074479175	0	0.9925520825
8603	99.0074479175	0	0.9925520825
8604	98.8267937389	0.0030159544	1.1701903067
8605	99.0074479175	0	0.9925520825
8606	98.9751669058	0	1.0248330942
8607	99.0074479175	0	0.9925520825
8608	98.9340990947	0	1.0659009053
8609	99.0074479175	0	0.9925520825
8610	98.9710902997	0	1.0289097003
8611	99.0074479175	0	0.9925520825
8612	99.0074479175	0	0.9925520825
8613	99.0074479175	0	0.9925520825
8614	99.0074479175	0	0.9925520825
8615	98.9973751679	0	1.0026248321
8616	99.0074479175	0	0.9925520825
8617	99.0074479175	0	0.9925520825
8618	98.9753427221	0	1.0246572779
8619	98.933597364	0	1.066402636
8620	98.8777096394	0	1.1222903606
8621	99.0074479175	0	0.9925520825
8622	98.9964716125	0	1.0035283875
8623	99.0074479175	0	0.9925520825
8624	99.0074479175	0	0.9925520825
8625	99.0074479175	0	0.9925520825
8626	93.2498231304	1.1860668359	5.5641100337
8627	98.9935970099	0	1.0064029901
8628	99.0074479175	0	0.9925520825
8629	98.9977269607	0	1.0022730393
8630	98.5691916984	0.2063772222	1.2244310794
8631	99.0074479175	0	0.9925520825
8632	92.9764716172	1.1764191376	5.8471092452
8633	99.0074479175	0	0.9925520825
8634	99.0019747835	0	0.9980252165
8635	98.9933502896	0	1.0066497104
8636	99.0074479175	0	0.9925520825
8637	99.0074479175	0	0.9925520825
8638	99.0074479175	0	0.9925520825
8639	99.0074479175	0	0.9925520825
8640	98.9353772362	0	1.0646227638
8641	98.9965175953	0	1.0034824047
8642	98.963558921	0	1.036441079
8643	99.0074479175	0	0.9925520825
8644	99.0074479175	0	0.9925520825
8645	99.0074479175	0	0.9925520825
8646	99.0074479175	0	0.9925520825
8647	99.0074479175	0	0.9925520825
8648	99.0074479175	0	0.9925520825
8649	99.0074479175	0	0.9925520825
8650	99.0044565299	0.0030213762	0.9925220938
8651	99.0074479175	0	0.9925520825
8652	98.9975740376	0	1.0024259624
8653	93.1223682532	1.1909319042	5.6866998426
8654	84.3728386021	9.9963383376	5.6308230603
8655	99.0074479175	0	0.9925520825
8656	99.0044565299	0.0030213762	0.9925220938
8657	99.0074479175	0	0.9925520825
8658	99.0074479175	0	0.9925520825
8659	98.9490354161	0	1.0509645839
8660	98.826571502	0	1.173428498
8661	87.1794871795	0.9083167755	11.912196045
8662	99.0074479175	0	0.9925520825
8663	99.0074479175	0	0.9925520825
8664	98.9513670535	0	1.0486329466
8665	99.0074479175	0	0.9925520825
8666	98.9029155395	0	1.0970844605
8667	99.0074479175	0	0.9925520825
8668	98.9966861628	0	1.0033138372
8669	99.0074479175	0	0.9925520825
8670	99.0074479175	0	0.9925520825
8671	98.9939206468	0	1.0060793532
8672	99.0020354224	0	0.9979645776
8673	99.0074479175	0	0.9925520825
8674	99.0074479175	0	0.9925520825
8675	99.0074479175	0	0.9925520825
8676	99.0074479175	0	0.9925520825
8677	99.0074479175	0	0.9925520825
8678	98.951684963	0	1.048315037
8679	99.0074479175	0	0.9925520825
8680	99.0074479175	0	0.9925520825
8681	98.4718945803	0	1.5281054197
8682	99.0074479175	0	0.9925520825
8683	99.0074479175	0	0.9925520825
8684	98.2337187882	0.0030960232	1.7631851886
8685	98.9836643772	0	1.0163356228
8686	99.0074479175	0	0.9925520825
8687	99.0074479175	0	0.9925520825
8688	99.0074479175	0	0.9925520825
8689	98.9753427221	0	1.0246572779
8690	98.9979868228	0	1.0020131772
8691	89.2896541801	6.5614657777	4.1488800422
8692	99.0074479175	0	0.9925520825
8693	99.0074479175	0	0.9925520825
8694	99.0074479175	0	0.9925520825
8695	98.9979562578	0	1.0020437422
8696	98.4561910351	0.55522954	0.9885794249
8697	98.9264355044	0	1.0735644956
8698	99.0074479175	0	0.9925520825
8699	98.9747191011	0	1.0252808989
8700	96.7825834013	2.4947669212	0.7226496775
8701	99.0074479175	0	0.9925520825
8702	99.0074479175	0	0.9925520825
8703	99.0074479175	0	0.9925520825
8704	99.0074479175	0	0.9925520825
8705	99.9669609194	0.000099967	0.0329391136
8706	99.0044565299	0.0030213762	0.9925220938
8707	98.9854514664	0.0030790547	1.0114694789
8708	99.0074479175	0	0.9925520825
8709	98.9934428239	0	1.0065571761
8710	99.0074479175	0	0.9925520825
8711	99.0074479175	0	0.9925520825
8712	93.2288799492	1.1094643235	5.6616557273
8713	99.0074479175	0	0.9925520825
8714	98.8983903421	0	1.101609658
8715	99.0074479175	0	0.9925520825
8716	98.4718945803	0	1.5281054197
8717	99.9670608534	0	0.0329391466
8718	99.0074479175	0	0.9925520825
8719	99.0074479175	0	0.9925520825
8720	99.0074479175	0	0.9925520825
8721	99.0074479175	0	0.9925520825
8722	98.9979104068	0	1.0020895932
8723	99.0074479175	0	0.9925520825
8724	98.9979562578	0	1.0020437422
8725	98.9749110653	0	1.0250889347
8726	99.0074479175	0	0.9925520825
8727	99.0074479175	0	0.9925520825
8728	99.0074479175	0	0.9925520825
8729	99.0074479175	0	0.9925520825
8730	99.0074479175	0	0.9925520825
8731	94.004487286	1.1467508725	4.8487618415
8732	99.0053140755	0	0.9946859245
8733	99.0074479175	0	0.9925520825
