Files	filesize	extracted text	metadata
89	93.9583871801	1.4086327216	4.6329800982
90	74.566128067	4.6080191502	20.8258527828
91	63.1676477	29.1802921299	7.6520601701
92	68.3987682833	13.2794457275	18.3217859892
93	79.6430563302	2.9559397658	17.4010039041
94	74.155898291	16.1734055857	9.6706961234
95	61.7274167987	5.3882725832	32.8843106181
96	65.2788104089	4.6096654275	30.1115241636
97	74.0635372214	18.7292555714	7.2072072072
98	64.7509578544	2.7777777778	32.4712643678
99	57.5471698113	6.8396226415	35.6132075472
100	68.0390879479	29.661237785	2.2996742671
101	65.5893536122	2.566539924	31.8441064639
102	76.2528076834	18.3409495779	5.4062427388
103	80.730517796	15.6999066099	3.5695755941
104	69.9927311174	24.8992268552	5.1080420274
105	64.5641389086	5.1736357194	30.2622253721
106	56.1609907121	8.8544891641	34.9845201238
107	61.0510046368	5.7959814529	33.1530139104
108	70.8248324104	24.8615563976	4.3136111921
109	54.1602858601	10.5155691679	35.3241449719
110	66.7718523193	16.7560744714	16.4720732092
111	64.8506151142	27.6362038664	7.5131810193
112	77.5439465214	11.3641990592	11.0918544194
113	71.25382263	17.9816513761	10.7645259939
114	62.0253164557	6.1181434599	31.8565400844
115	61.9407321325	7.2632190587	30.7960488088
116	54.4345898004	10.0332594235	35.5321507761
117	65.4218928164	12.1721778791	22.4059293044
118	52.6150627615	6.0669456067	41.3179916318
119	55.5789473684	8.2807017544	36.1403508772
120	77.6824034335	14.7093250098	7.6082715568
121	66.1706349206	1.9841269841	31.8452380952
122	66.8630500412	32.1617418351	0.9752081237
123	64.068627451	14.9509803922	20.9803921569
124	57.8981723238	7.9634464752	34.138381201
125	63.7942046524	35.2695979562	0.9361973914
126	58.6374695864	6.2449310625	35.1175993512
127	65.5563966692	4.3906131718	30.052990159
128	76.6859704838	14.9448907155	8.3691388007
129	51.6646848989	10.5826397146	37.7526753864
130	78.7174761027	20.2044665438	1.0780573535
131	86.7375489647	6.7991046447	6.4633463906
132	78.6100620133	19.7370261575	1.6529118292
133	56.2380038388	8.6372360845	35.1247600768
134	60.9826589595	6.2861271676	32.7312138728
135	61.8901720481	37.5627083263	0.5471196256
136	55.3020134228	8.6577181208	36.0402684564
137	65.2014652015	3.021978022	31.7765567766
138	68.6138815388	27.7223692245	3.6637492367
139	61.2337662338	6.8831168831	31.8831168831
140	66.0358565737	1.9920318725	31.9721115538
